,pick_up_in_store,pick_up_curbside,local_store_delivery,population_density,median_household_income,PF,occupancy_rate,child_teen_rate,working_age_rate,female_rate,white_pop_rate,race_minority,owned_hh_rate,income_earners_rate,middle_income_hh_rate,work_from_home_rate,higher_education_rate,average_year_pop_growth_rate,ID,name,address,city,state,zip_code,latitude,longitude,2017 Sales,2018 Sales,2019 Sales,2020 Sales
0,Yes,Yes,Yes,2412,84704,2.581772213,0.946975648,0.225122415,0.590829995,0.516409696,0.883857391,black,0.201887184,0.679844206,0.543965787,0.038924625,0.538736126,0.00545381,Massachusetts-Dedham,Dedham At Home,300 Providence Hwy,Dedham,MA,2026,42.2437,-71.1637,#N/A,#N/A,8076927.946,6835038.696
1,Yes,Yes,Yes,746,70966,4.271078815,0.957294029,0.241391888,0.608914502,0.514662971,0.951561132,two or more,0.242992499,0.684533731,0.5423624,0.029779463,0.398600679,0.003207485,Massachusetts-Seekonk,Seekonk At Home,1110 Fall River Ave,Seekonk,MA,2771,41.796947,-71.327475,8124951.888,10533903.39,9849662.957,8494276.853
2,Yes,Yes,Yes,1961,61682,5.388108018,0.944964187,0.203662578,0.595544774,0.525231474,0.927670915,asian,0.174646144,0.665157079,0.551171875,0.027606933,0.413281607,-0.001165194,Rhode Island-Warwick North,Warwick North  At Home,650 Bald Hill Rd,Warwick,RI,2886,41.71976,-71.485791,7905291.87,1290297.773,7578992.88,7323720.451
3,Yes,Yes,Yes,2198,64761,6.63413169,0.957910702,0.210748845,0.657745619,0.521271031,0.716546073,asian,0.14349332,0.722808333,0.599716828,0.026875052,0.490862101,-0.000436452,Connecticut-Manchester,Manchester At Home,1181 Tolland Turnpike,Manchester,CT,6042,41.798209,-72.556885,#N/A,5234104.858,9594620.827,9176974.848
4,Yes,Yes,No,1708,65090,6.479687206,0.955670272,0.211921266,0.609926975,0.525373466,0.854023798,black,0.226871302,0.688111213,0.59957477,0.023763921,0.390284757,0.000520712,New York-Albany,Albany At Home,161 Washington Ave Ext,Albany,NY,12205,42.695011,-73.847962,9613179.701,9493778.275,9117475.762,7051295.894
5,Yes,Yes,Yes,430,66111,4.616659532,0.954589749,0.284200595,0.61376007,0.514914,0.683068437,black,0.136994692,0.703883495,0.581120944,0.020450814,0.376988984,0.003377583,New York-Middletown,Middletown At Home,100 N Galleria Dr,Middletown,NY,10941,41.460675,-74.373571,#N/A,5689248.48,8795768.141,6802129.195
6,Yes,Yes,No,2301,103170,2.773526166,0.967573857,0.255478188,0.574428423,0.521026372,0.860737979,asian,0.240288597,0.672430994,0.483346116,0.037399618,0.553031715,-4.23E-05,New Jersey-Wayne,Wayne At Home,"77 Willowbrook Blvd, Ste 81",Wayne,NJ,7470,40.886681,-74.254785,#N/A,7340683.867,9976765.738,8420178.773
7,Yes,Yes,Yes,811,64366,2.60293433,0.947207558,0.214936474,0.537960954,0.536163619,0.932816858,asian,0.280434145,0.637065932,0.521176112,0.039127471,0.517208904,-0.00291301,New York-New Hartford,New Hartford At Home,4645 Commercial Dr,New Hartford,NY,13413,43.08915,-75.314787,#N/A,6158428.085,6204213.605,5074251.149
8,Yes,Yes,No,3110,69797,1.783440559,0.93524063,0.234085757,0.584836607,0.527602002,0.933179071,black,0.237194688,0.665095687,0.551235294,0.054957003,0.351542396,0.005576851,New Jersey-Brick,Brick At Home,1930 N Jersey 88,Brick,NJ,8724,40.0874,-74.1152,#N/A,2493819.475,9630943.618,7723799.914
9,Yes,Yes,No,4522,26841,11.43300236,0.847743002,0.32221163,0.594601375,0.513270784,0.569464653,black,0.110149872,0.585436958,0.28462746,0.015997902,0.237811838,-0.001673588,New York-Syracuse,Syracuse At Home,9090 Destiny USA Dr,Syracuse,NY,13204,43.068151,-76.173342,7219799.101,6983818.344,6827691.643,4995939.456
10,Yes,Yes,Yes,2124,55861,2.553877561,0.949482862,0.234443536,0.585607018,0.524347632,0.82889748,black,0.212099388,0.679081037,0.56508981,0.023782729,0.335556011,0.00593826,Pennsylvania-Whitehall Township,Whitehall Township At Home,2520 MacArthur Road,Whitehall,PA,18052,40.642174,-75.496067,#N/A,7690556.102,8206267.838,7349832.23
11,Yes,Yes,Yes,3505,66857,0,0.95771016,0.242672048,0.601847918,0.517523364,0.753770178,black,0.179725363,0.702464789,0.565989848,0.019995834,0.439480833,0.004100602,Pennsylvania-Willow Grove,Willow Grove  At Home,2620 Moreland Rd,Willow Grove,PA,19090,40.1568,-75.1269,#N/A,#N/A,5125735.44,7054021.152
12,Yes,Yes,Yes,3101,68465,7.384597831,0.935607632,0.231615336,0.583909491,0.527251504,0.747014456,asian,0.200044331,0.665831663,0.563564724,0.029163905,0.486060068,-0.001480968,New Jersey-Cherry Hill,Cherry Hill At Home,989 Church Rd,Cherry Hill,NJ,8002,39.944529,-75.021585,3665134.21,12708211.36,10876605.03,8573420.39
13,Yes,Yes,Yes,2609,70982,1.968194958,0.954089136,0.248563808,0.620794009,0.517593352,0.824784571,black,0.169291602,0.720439506,0.597058425,0.019212769,0.348143753,-0.001480968,New Jersey-Turnersville,Turnersville At Home,5700 Route 42 N,Turnersville,NJ,8012,39.7843,-75.0553,#N/A,#N/A,3488262.149,7479347.026
14,Yes,Yes,No,1494,64145,2.413008574,0.957607069,0.24737339,0.566383415,0.519315374,0.874525402,asian,0.237382141,0.674139372,0.546107484,0.040635746,0.472287838,0.005311421,Pennsylvania-Lancaster,Lancaster At Home,1890 Fruitville Pike,Lancaster,PA,17601,40.07294,-76.322022,#N/A,7167525.739,9348115.968,7339388.53
15,Yes,Yes,No,1424,46149,6.806360275,0.938538696,0.273948405,0.62352335,0.448901483,0.743679388,asian,0.156223806,0.708202638,0.490085312,0.024095395,0.479473334,-0.000418562,New York-Rochester,Rochester At Home,1100 Jefferson Rd,Rochester,NY,14623,43.088994,-77.610786,4081579.949,10015981.36,8011340.496,6343335.662
16,Yes,Yes,No,2205,53944,6.156560293,0.964687621,0.230318565,0.57281715,0.5299757,0.883758863,black,0.214481094,0.628685259,0.523995225,0.032205549,0.423063255,-0.000418562,New York-Greece,Greece At Home,3049 West Ridge Road,Rochester,NY,14626,43.209209,-77.711805,#N/A,7053578.021,6736299.826,5686486.344
17,Yes,Yes,No,491,76593,1.937238666,0.956891702,0.230251108,0.621713442,0.511314623,0.887680945,black,0.24061145,0.727687534,0.633616831,0.021415167,0.484030402,0.004082255,Pennsylvania-Harrisburg,Harrisburg  At Home,5070 Jonestown Rd,Harrisburg,PA,17112,40.3352,-76.7914,#N/A,2830229.899,8232885.331,6841506.398
18,Yes,Yes,Yes,871,63355,3.515034191,0.949354005,0.231039232,0.585773315,0.516372684,0.90851735,black,0.249428416,0.657608696,0.597770911,0.023739714,0.321904644,0.003434929,Pennsylvania-York,York At Home,855 Town Center Dr,York,PA,17408,39.970676,-76.76938,10171112.75,9353649.427,8025988.147,6668196.696
19,Yes,Yes,Yes,4423,60430,3.034992836,0.951361604,0.253222562,0.636819164,0.511772595,0.650007451,black,0.115351752,0.739024616,0.534833669,0.012696303,0.268522836,0.00797305,Maryland-Glen Burnie,Glen Burnie  At Home,6716 Governor Ritchie Hwy,Glen Burnie,MD,21061,39.1618,-76.6297,#N/A,#N/A,3099082.723,6840094.709
20,Yes,Yes,Yes,4530,107715,0.235978846,0.969057523,0.289276511,0.630882061,0.515520317,0.802497522,black,0.082495812,0.810713029,0.624112746,0.037277586,0.63511276,0.00797305,Maryland-Crofton,Crofton At Home,1647 Crofton Center,Crofton,MD,21114,39.0112,-76.6802,#N/A,4698973.066,11249966.36,9553388.875
21,Yes,Yes,Yes,907,72646,4.134762343,0.921814855,0.236052475,0.624543111,0.521689854,0.804692149,black,0.121919496,0.724436448,0.554361781,0.0523986,0.468861875,0.011483531,Maryland-Frederick,Frederick  At Home,1811 Monocacy Blvd,Frederick,MD,21701,39.446045,-77.389114,#N/A,7959058.272,10179898.62,7760119.003
22,Yes,Yes,Yes,2860,116347,2.620808708,0.961692939,0.27961759,0.63688627,0.513563719,0.591615155,asian,0.091566373,0.766044868,0.481692757,0.055101503,0.713080659,0.008282669,Maryland-Gaithersburg,Gaithersburg At Home,209 Kentlands Blvd,Gaithersburg,MD,20878,39.1125,-77.2515,#N/A,462257.136,9946845.85,6680294.222
23,Yes,Yes,Yes,1376,122054,3.244493672,0.975541886,0.30214279,0.631187424,0.499017498,0.578646954,asian,0.096081669,0.784566699,0.44292937,0.064118265,0.577281739,0.006143469,Virginia-Chantilly,Chantilly At Home,13910 Metrotech Dr,Chantilly,VA,20151,38.8867,-77.4457,7487640.743,9699036.077,10009905.96,7855559.942
24,Yes,Yes,Yes,4133,90378,0.289460629,0.958358531,0.322080304,0.620545676,0.50561967,0.470053527,black,0.057558821,0.769567872,0.579999112,0.029076235,0.362928654,0.016457921,Virginia-Dale City,Dale City At Home,2851 Dale Blvd,Dale City,VA,22193,38.625869,-77.299827,8017355.418,6978318.172,6321758.17,6104967.12
25,Yes,Yes,Yes,1819,65017,2.225034503,0.946113074,0.294539112,0.64937609,0.494217094,0.493814571,other,0.042794896,0.80083018,0.613856666,0.023838081,0.343766189,0.016457921,Virginia-Manassas,Mannasas At Home,8300 Sudley Rd,Manassas,VA,20109,38.774403,-77.506487,6988385.147,6136405.142,5222181.557,4410865.037
26,Yes,Yes,No,969,78164,1.650542215,0.949994939,0.306793785,0.593519159,0.515719952,0.713565736,black,0.096537027,0.694640306,0.60380055,0.033073788,0.351192956,0.011427609,Virginia-Fredericksburg,Fredericksburg At Home,3655 Plank Rd,Fredericksburg,VA,22407,38.292333,-77.527337,4554761.651,7806650.558,7582667.947,7535909.635
28,Yes,Yes,Yes,1438,58083,3.95217953,0.934537078,0.204427497,0.580941284,0.527910179,0.794972284,black,0.251967878,0.635575473,0.521250299,0.040482534,0.473335802,-0.00071665,Pennsylvania-Monroeville,Monroeville At Home,120 Mall Plaza Blvd,Monroeville,PA,15146,40.430905,-79.791807,5638381.841,9000231.005,9315206.899,7886362.867
29,Yes,Yes,Yes,2517,55415,3.133732395,0.932692308,0.247004516,0.627415956,0.523933768,0.397892624,black,0.116886216,0.698668818,0.538050869,0.022255433,0.334838787,-0.002360804,Virginia-Hampton,Hampton At Home,1072 W Mercury Blvd,Hampton,VA,23666,37.044292,-76.386038,7895830.823,8899840.282,9245753.626,9021051.936
