ID,name,address,city,state,zip_code,latitude,longitude,pick_up_in_store,pick_up_curbside,local_store_delivery,county,population,population_density,land_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income,pop_age_under_5,pop_age_5-9,pop_age_10-14,pop_age_15-19,pop_age_20-24,pop_age_25-29,pop_age_30-34,pop_age_35-39,pop_age_40-44,pop_age_45-49,pop_age_50-54,pop_age_55-59,pop_age_60-64,pop_age_65-69,pop_age_70-74,pop_age_75-79,pop_age_80-84,pop_age_85_plus,pop_male,pop_female,pop_white,pop_black,pop_native_am,pop_asian,pop_hawaii,pop_other,pop_two_plus,husb_wife,single_guard,single,sing_room,hh_no_kids,hh_kids,hh_mortgage,hh_owned,hh_rent,hh_vacant,full_time_work,part_time_work,no_earnings,hi_less_25k,"hi_25_44,9k","hi_45_59,9k","hi_60_99,9k","hi_100_149,9k","hi_150_199,9k",hi_200k+,Private Vehicle,Public Transportation,Taxi,Motorcycle,"Bicycle, Walking or Other",Work from Home,Less than High School,High School Graduate,Associate Degree,Bachelor Degree,Master Degree,Professional School Degree,Doctorate Degree,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_growth_2011,pop_growth_2012,pop_growth_2013,pop_growth_2014,pop_growth_2015,pop_growth_2016,pop_growth_2017,pop_growth_2018,pop_growth_2019,state_full,estab,sales_revenue_2012,num_emp,city_sales_rev,city_sales_rev_final,Pop State,PIC_City,PCI State,TAC,PF
Massachusetts-Dedham,Dedham At Home,300 Providence Hwy,Dedham,MA,2026,42.2437,-71.1637,Yes,Yes,Yes,Norfolk County,24711,2412,10.24,10184,9644,373700,84704,1325,1373,1475,1390,1240,1361,1436,1546,1844,2070,1938,1741,1424,1047,881,851,802,967,11950,12761,21841,1344,65,640,4,402,415,4855,1448,2766,575,6779,2865,5018,1947,2679,540,8718,5246,6576,1329,970,1065,2177,1973,1021,1052,10129,1032,0,9,484,472,1040,7230,1427,4953,2308,601,370,673019,677782,682865,688345,692239,694502,697079,700599,703230,706775,0.007077066,0.007499461,0.008025012,0.005657047,0.003269102,0.003710572,0.005049643,0.003755358,0.005041025,Massachusetts,24311,92915380000,351598,1058228,1058228000,6892503,51425,41794,63798.17315,2.581772213
Massachusetts-Seekonk,Seekonk At Home,1110 Fall River Ave,Seekonk,MA,2771,41.796947,-71.327475,Yes,Yes,Yes,Bristol County,13708,746,18.37,5292,5066,303100,70966,580,799,997,933,700,545,619,851,1105,1251,1266,1110,900,662,443,396,311,240,6653,7055,13044,147,30,166,2,131,188,3286,651,897,232,3375,1691,3222,1231,613,226,4535,3268,3596,622,757,536,1160,935,443,398,6782,91,0,0,34,212,916,4929,960,1897,752,240,25,549166,549308,551120,552379,555090,556863,558070,560941,564092,565217,0.000258574,0.003298696,0.002284439,0.004907862,0.003194077,0.002167499,0.005144516,0.005617347,0.001994356,Massachusetts,24311,92915380000,351598,826920,826920000,6892503,43788,41794,58547.94839,4.271078815
Rhode Island-Warwick North,Warwick North  At Home,650 Bald Hill Rd,Warwick,RI,2886,41.71976,-71.485791,Yes,Yes,Yes,Kent County,29269,1961,14.92,13682,12929,214300,61682,1351,1484,1564,1562,1574,1750,1788,1738,1998,2285,2319,2076,1903,1413,1190,1106,1027,1141,13896,15373,27152,462,82,766,9,292,506,5655,1771,4572,931,9825,3104,6276,2258,4395,753,10500,5803,8207,2609,1919,1691,3214,2150,702,515,13403,231,0,0,279,395,2413,10442,2327,4244,1960,333,191,166030,165278,164627,164358,164490,163747,163711,163543,164053,164292,-0.004529302,-0.003938818,-0.001633997,0.000803125,-0.004516992,-0.000219851,-0.001026199,0.003118446,0.001456846,Rhode Island,3795,12063865000,47688,1960679,1960679000,1059361,37795,34619,157704.5336,5.388108018
Connecticut-Manchester,Manchester At Home,1181 Tolland Turnpike,Manchester,CT,6042,41.798209,-72.556885,Yes,Yes,Yes,Hartford County,22942,2198,10.44,10549,10105,187200,64761,1496,1124,1087,1128,1575,2583,2184,1559,1367,1532,1590,1426,1274,861,627,468,453,608,10983,11959,16439,2332,50,2614,11,765,731,4243,1643,3227,992,7422,2683,4319,1450,4336,444,8848,4649,5176,1408,1662,1519,2733,1678,524,364,11308,330,0,0,130,325,1149,7125,1321,4020,2108,282,246,895236,896864,897706,897678,897407,896290,894141,893076,892580,891720,0.001818515,0.000938827,-3.11906E-05,-0.00030189,-0.001244697,-0.002397661,-0.001191087,-0.000555384,-0.000963499,Connecticut,12597,51632467000,182528,1593585,1593585000,3565287,31129,43056,152200.2492,6.63413169
New York-Albany,Albany At Home,161 Washington Ave Ext,Albany,NY,12205,42.695011,-73.847962,Yes,Yes,No,Albany County,26977,1708,15.79,12204,11663,193800,65090,1305,1320,1493,1599,1422,1710,1654,1624,1908,2172,2113,2004,1847,1227,972,975,870,762,12804,14173,23039,1579,47,1449,6,250,607,5251,1939,3668,805,8637,3026,5562,2646,3455,541,10009,5682,7112,1670,1985,1562,3431,1775,559,306,13010,327,14,36,375,335,1405,10607,2680,2901,1721,101,286,304086,304596,305723,306589,307151,307433,307597,307717,306585,305506,0.001677157,0.003699983,0.00283263,0.001833073,0.000918115,0.00053345,0.000390121,-0.003678705,-0.003519415,New York,77463,2.51E+11,905325,1710715,1710715000,19453561,28402,37470,174802.5218,6.479687206
New York-Middletown,Middletown At Home,100 N Galleria Dr,Middletown,NY,10941,41.460675,-74.373571,Yes,Yes,Yes,Orange County,13779,430,32.03,5131,4898,259700,66111,832,957,1109,1018,784,837,799,1080,1172,1130,1034,857,764,552,326,231,165,132,6684,7095,9412,2270,69,535,2,889,602,2682,910,1028,278,2933,1965,2489,671,1738,233,5105,2435,3172,572,813,771,1228,759,461,142,6110,241,138,0,73,137,884,4715,901,1588,716,106,77,373445,374097,373699,374320,374845,375803,377799,379758,382126,384940,0.001745906,-0.001063895,0.001661765,0.001402543,0.002555723,0.005311293,0.005185297,0.00623555,0.007364063,New York,77463,2.51E+11,905325,591273,591273000,19453561,26975,37470,63612.9517,4.616659532
New Jersey-Wayne,Wayne At Home,"77 Willowbrook Blvd, Ste 81",Wayne,NJ,7470,40.886681,-74.254785,Yes,Yes,No,Passaic County,54717,2301,23.78,19768,19127,462300,103170,2458,3320,3842,4359,3670,2388,2212,3014,3929,4718,4535,3749,3216,2430,1895,1742,1583,1657,26208,28509,47097,1247,51,4478,11,985,848,12030,2201,4253,643,12500,6627,10728,4596,3803,641,18536,11794,14775,1739,1990,1407,3727,3689,2465,3237,22979,1573,0,20,600,978,2660,14125,1989,11808,4840,1497,634,502023,503264,503558,503857,504547,504629,504147,504402,503183,501826,0.002471998,0.000584186,0.000593775,0.001369436,0.000162522,-0.000955157,0.000505805,-0.002416723,-0.002696832,New Jersey,31722,1.34E+11,436299,2784432,2784432000,8882190,49860,40895,151759.0312,2.773526166
New York-New Hartford,New Hartford At Home,4645 Commercial Dr,New Hartford,NY,13413,43.08915,-75.314787,Yes,Yes,Yes,Oneida County,16135,811,19.89,7198,6818,157100,64366,688,815,1031,934,740,734,639,777,1025,1113,1264,1238,1150,885,702,653,740,1007,7484,8651,15051,209,9,591,0,67,208,3455,782,2281,300,5090,1728,3081,1912,1825,380,5312,3017,4745,1043,1275,778,1572,1071,342,483,6885,19,17,0,127,287,1029,4610,1014,2812,1485,493,237,234756,234218,233765,233347,232598,231264,230375,230011,229474,228671,-0.002291741,-0.001934096,-0.001788121,-0.003209812,-0.005735217,-0.003844092,-0.001580033,-0.002334671,-0.003499307,New York,77463,2.51E+11,905325,575343,575343000,19453561,39757,37470,41998.34541,2.60293433
New Jersey-Brick,Brick At Home,1930 N Jersey 88,Brick,NJ,8724,40.0874,-74.1152,Yes,Yes,No,Ocean County,42352,3110,13.62,18036,16868,266600,69797,2138,2378,2715,2683,2096,2251,2244,2527,2994,3698,3538,2926,2495,1889,1639,1464,1285,1392,20007,22345,39522,1041,53,645,6,501,584,8845,2509,4660,854,11752,5116,10524,4001,2343,1168,13649,9636,11725,2929,2586,1890,4429,3052,1288,826,18542,368,24,13,175,1112,1959,17948,2408,6069,1881,336,98,577564,578876,579932,582059,584447,587091,590897,595424,601478,607186,0.00227161,0.001824225,0.003667671,0.004102677,0.004523935,0.006482811,0.007661234,0.010167544,0.009489956,New Jersey,31722,1.34E+11,436299,1115708,1115708000,8882190,40141,40895,75532.27455,1.783440559
New York-Syracuse,Syracuse At Home,9090 Destiny USA Dr,Syracuse,NY,13204,43.068151,-76.173342,Yes,Yes,No,Onondaga County,19931,4522,4.41,9681,8207,68800,26841,1819,1581,1478,1544,1766,2069,1468,1140,1204,1268,1206,962,768,532,320,261,252,293,9701,10230,11350,5263,339,113,10,1447,1409,1481,2704,3060,962,5445,2762,1506,904,5797,1474,5211,3625,6257,3868,1960,792,1115,450,57,39,5934,640,0,0,930,122,3225,6124,931,1405,480,81,20,467533,467614,467030,468146,467285,466277,464109,461795,461649,460528,0.00017325,-0.001248893,0.002389568,-0.00183917,-0.002157142,-0.004649597,-0.004985898,-0.000316158,-0.002428252,New York,77463,2.51E+11,905325,1726223,1726223000,19453561,21985,37470,227871.17,11.43300236
